Unnamed: 0,ID,Prix,Un. rés.,Rev. brut. pot.,YearBuilt,Type de bâtiment,Dimensions du bâtiment,Éval. terrain,Superficie habitable,Éval. bâtiment,Dimensions du terrain,Cert. de localisation,Superficie du terrain,Plan d'eau,Piscine,Stationnement (total),Chauffage,Eau (accès),Foyers-Poêles,Équip./Serv.,Rénovations,Inclusions,Exclusions,Remarques - Courtier,Addenda,Nbre pièces,Nbre chambres (hors-sol + sous-sol),Nbre salles de bains + salles d'eau
859,860,975 000 $,3,51 960 $,Triplex dans le quartier Rivière-des-Prairies construit en 1978,Isolé (détaché),"31,4 X 40,3 p / 9,55 X 12,26 m",191 200 $,,319 200 $,"41,8 X 100 p irr / 12,7 X 30,48 m irr",Oui (2020),"5 487 pc /    509,76 mc",,,"Allée (3), Garage (1)",Plinthes à convection,,,Thermopompe murale,Revêtement de la toiture - 2017,"Lave-vaisselle, stores, luminaires, 2 réservoirs d'eau chaude, aspirateur central avec accessoires, support tv seulement au salon.Un climatiseur mural,Un broyeur à évier de boucher.","Apt 8404 Ave Joliot-Curie luminaires de la chambre des maîtres et de la chambre de bébé, 1 réservoir d'eau chaude loué avec Hydro-Solution 40 gallons , miroirs de la salle de bain du 2e étage. Un broyeur à évier de boucher.","Occupation double Triplex de coin détaché dans un emplacement A+++. Cette maison offre tout aux investisseurs et propriétaire occupant. Rez-de-chaussée entièrement rénové en 2020. Cuisine, salle à manger et salon à aire ouverte. Rez-de-chaussée offrant beaucoup de lumière naturelle. Offre de cuisine moderne -garde-manger walk-in 3 x 10 -îlot avec évier. -Remplisseur de pot -conduite de gaz -comptoirs et dosseret en quartz. Deux salles de bain complètes -rez-de-chaussée avec douche et bain séparés - double évier -salle de bain complète au sous-sol avec douche indépendante Salle de lavage située au","Occupation double Triplex de coin détaché dans un emplacement A+++. Cette maison offre tout aux investisseurs et propriétaire occupant. Rez-de-chaussée entièrement rénové en 2020.Rénovations:D8.4 - 2020 - nouvelle plomberie sous roche de remblaiD8.4 - 2020 - valve d'entrée d'eau changéeD10.2 - 2020 - thermopompe murale + AC installé en 2020D12.2 - 2020 - Teste de pyrite (nouveau remblai rocheux sous nouvelle dalle de ciment mise au garage 0-3/4 net)D13.2 - 2020 - pyrite enlevée en 2020 côté garage et une nouvelle dalle de ciment a été coulée. Entre dalle de ciment et filet de pierre 0-3/4. La dalle est isolée à l'uréthane.D13.2 - 2021 - nouvelles portes d'entrée + nouvelles fenêtres dans certaines parties de la maison. (d'autres fenêtres ont déjà été changées par les propriétaires précédents)D13.2 - 2020 - nouvelle porte de garageD13.2 - 2020 - Aspirateur central et coup de piedD13.2 - 2020 - cuisine rénovée (garde-manger walk-in, armoires (blanc + bleu), comptoir et dosseret en quartz, remplisseuse, évier du boucher)D13.2 - 2020 - Rénovation de 2 salles de bain (évier double, douche + bain séparés)D13.2 - 2020 - Salle de lavage au sous-sol avec lavabo8400 Joliot-Curie (3 1/2) loué jusqu'au 30 juin 2023 à 730$/mois8402 Joliot-Curie (5 1/2) actuellement vacant, précédemment loué à 1400$/mois8404 Joliot-Curie (rez-de-chaussée, 3 chambres, 2 salles de bain),proprietaire occupant.Cour arrière : La cour autour de la maison a actuellement 0-3/4 de roche et est prête pour le criblage et les vallons. - Il manque du gazon dans certains endroits.",7.0,3.0,2+0
860,861,750 000 $,3,41 400 $,Triplex dans le quartier Rivière-des-Prairies construit en 1979,Jumelé,"32 X 45 p / 9,75 X 13,72 m",223 900 $,,584 500 $,"44 X 109,5 p / 13,41 X 33,35 m",Non,"4 818 pc /    447,61 mc",,,"Allée (1), Garage (1)",Plinthes électriques,,Foyer au bois,Climatiseur mural,,,,"Solide triplex avec garage sur rue calme de Rivière-des-Prairies, 3 chambres fermées, fenêtres récentes, 2 salles de bain rénovés, terrasse en béton et grande cour, Occupation flexible",,6.0,3.0,1+1
861,862,845 000 $,3,41 700 $,Triplex dans le quartier Rivière-des-Prairies construit en 2008,Jumelé,"27,6 X 43,1 p / 8,38 X 13,13 m",187 000 $,,482 900 $,"41,1 X 100 p / 12,52 X 30,48 m",Oui (2008),"3 798,58 pc /    352,9 mc",,,"Allée (1), Garage (1)",Plinthes électriques,,,"Climatiseur mural, Échangeur d'air, Thermopompe murale","Plancher - 2022 (   1 $), Sous-sol - 2022 (   1 $), 3x chauffe-eau - 2021 (   1 $)","Pour les 3 logements: Fixtures, luminaires, échangeurs d'air, hotte, ouvre-porte et manettes de garage, cabanon Pour le 12330: Air climatisé murale Pour les 12326 & 12328: Thermopompe murale, stores","Pour les 3 logements: Bien des locataires, lave-vaisselle, rideaux et pôles Pour le 12330: Stores","PRIX OPTIMISÉ - NE MANQUEZ PAS VOTRE CHANCE! Très bien entretenu dans secteur familial, ce triplex est un investissement sûr.  Toutes les pièces sont de bonne dimensions. Très belle luminosité, et terrain convivial. Possibilité de 2 occupations rapides. Excellents locataires au deuxième (habitent depuis 2008).  VENDEUR MOTIVÉ!!!!","PRIX OPTIMISÉ - NE MANQUEZ PAS VOTRE CHANCE!Voici un aperçu du 12326-12330, rue Marcelle-Gauvreau à RDP !Construction triplex 2008 signée Habitation Beaulieu !- Magnifique Triplex situé dans un secteur familial et homogène - Une des rues les plus en demande dans RDP- 3 unités de qualité (1x 31/2 - 2x 41/2)- Unité du sous-sol rénovée en 2021- Planchers du RDC sablé et vernis satinée en 2022- Unités fraîchement repeintes - 3 chauffe-eau changés en 2021- Climatisation/thermopompe murale pour toutes les unités 2022- Grand balcon arrière avec rideaux d'intimités - Cour extérieure intime et bien aménagée- Remise installée en 2021 - 1 place de garage- 1 place de stationnement extérieur- Occupation double possible en juillet 2023 (ou avant)Avoir la tranquillité d'esprit dans une propriété locative vaut son pesant d'or.",4.0,2.0,1+0
862,863,780 000 $,3,42 060 $,Triplex dans le quartier Rivière-des-Prairies construit en 1977,Jumelé,"31,2 X 40,2 p / 9,49 X 12,24 m",237 000 $,,398 900 $,"105 X 58,9 p / 32 X 17,92 m",Oui (2023),"5 101,01 pc /    473,9 mc",,,"Allée (2), Garage (1)",,,,,,"Tous les luminaires, tous les accessoires des fenêtres, climatiseur mural, ouvre-porte de garage électrique (brisé), hotte de cuisine, remise extérieur, cuisinière","Tous les effets personnels des locataires, lave-vaisselle","Triplex bien entretenu appartenant à la même famille depuis 1984. Parfaitement situé, directement sur Maurice-Duplessis, à distance de marche de diverses banques, épiceries, dépanneurs, parcs, transport en commun, restaurants, écoles et salles de sport, à quelques minutes en voiture de la station AMT ou du pont de l'A25 menant à Laval. Parfait pour y vivre tout en ayant un investissement. L'unité principale est spacieuse et comprend 3 CÀC et 1 SDB. L'unité du sous-sol (3 1/2) est actuellement louée à 620 $/mois et l'unité de l'étage (5 1/2) à 1285 $/mois. Venez voir par vous-même ce que cette propriété a à offrir !","Triplex bien entretenu appartenant à la même famille depuis 1984. Parfaitement situé, directement sur Maurice-Duplessis, à distance de marche de diverses banques, épiceries, dépanneurs, parc Don-Bosco, parc Samuel-Morse, parc De La Molise, transport en commun, restaurants, Académie Leonardo Da Vinci, École Fernand Gauthier, École Notre-Dame et salles de sport, à quelques minutes en voiture de la station de l'AMT ou du pont de l'A25 menant à Laval. Saviez-vous que RDP est reconnu pour avoir tous ses services à l'intérieur de la communauté, tels que garderies, boulangeries, stations d'essence, parcs et écoles primaires, piscines locales, SAQ, Dollarama, épiceries et une multitude de pharmacies, banques, restaurants et plus encore.RDP est une grande communauté composée de plusieurs petits quartiers. Ce secteur en particulier, près de l'intersection Maurice-Duplessis et Rodolphe-Forget, est souvent considéré comme le centre-ville de RDP et est donc très en demande. En plus d'être à proximité de tous les services, il n'est qu'à quelques minutes de l'A25 pour un accès rapide à Laval ou à d'autres quartiers de Montréal, au CEGEP Marie-Victorin, à plusieurs écoles primaires et secondaires, et au Club de Golf Métropolitain. Il est également très près du boulevard Gouin, réputé pour sa piste cyclable, de plusieurs parcs avec vue sur le fleuve, et des crèmeries et cafés.Ce triplex est la propriété idéale pour y vivre tout en ayant un investissement. L'unité principale est spacieuse et comprend trois chambres à coucher et une salle de bain, et la cuisine a beaucoup d'espace de rangement et de travail. L'unité du deuxième étage a été refaite en 2019, la salle de bain du bachelor a été refaite il y a 12 ans, et les escaliers extérieurs à l'avant et à l'arrière ont été refaits en 2021. Enfin, l'unité du sous-sol (3 1/2) est actuellement louée à 620$/mois et l'unité de l'étage (5 1/2) à 1285$/mois. Venez voir par vous-même ce que cette propriété a à offrir !",6.0,3.0,1+0
863,864,800 000 $,3,28 320 $,Triplex dans le quartier Rivière-des-Prairies construit en 1977,Jumelé,"32 X 42 p irr / 9,75 X 12,80 m irr",153 300 $,,342 100 $,"44 X 100 p / 13,41 X 30,48 m",Oui (1989),"4 400 pc /    408,77 mc",,,"Allée (1), Garage (1)",,,,,,,,"Très beau triplex, prêt de tous les services (Banque, restaurants, boulangerie, pharmacie, parcs, etc.) Belle propriété pour propriétaire occupant ou investisseur. Une visite s'impose!",,5.0,3.0,2+0
864,865,950 000 $,4,45 660 $,Quadruplex dans le quartier Rivière-des-Prairies construit en 1978,Jumelé,"40 X 43,5 p / 12,19 X 13,23 m",194 400 $,,410 300 $,"65,4 X 101,9 p irr / 19,91 X 31,02 m irr",Non,"5 581 pc /    518,49 mc",,,"Allée (4), Garage (2)",Plinthes électriques,,Foyer au bois,Climatiseur mural,,"Tous les luminaires, tous les habillages de fenêtre, climatisation murale, 4 réservoirs d'eau chaude (loués), cabane de poêle.",Tous les effets personnels du vendeur et des locataires.,"Mesures du bâtiment selon les informations de la ville - seront confirmées une fois le certificat de localisation reçu (déjà commandé). Quadruplex très bien entretenu, idéalement situé face à l'église et à quelques minutes de tous les services, commodités et transports. Visite des unités louées seulement après acceptation de l'offre. Veuillez noter que les unités sont en bon état mais originales.","8466-8472 Maurice Duplessis | Emplacement A+ avec un grand potentiel de revenus! Pour la première fois sur le marché depuis sa construction, ce quadruplex situé au centre de Rivière-Des-Prairies peut maintenant être vôtre propriété! Cette propriété est située sur un terrain de plus de 5 500 pi2, à quelques pas des services, des commodités et du transport en commun. Cependant, le plus important est le potentiel que cette propriété offre grâce à ses revenus ainsi qu'à sa grande et spacieuse unité principale. Vous cherchez une propriété à revenu que vous pouvez occuper avec votre famille ? Voici une option fantastique! Caractéristiques principales:Construit en 1978Quadruplex (4 unités légales)Construction de 40x43.5 (a confirmer)5,581ft2 de terrain3 chambres à coucher1+2 salles de bainGarage double2 cuisinesGrandes chambresBeaucoup d'espace de rangementGrand potentiel de revenusEmplacement A+Types d'unités :1x 9 1/22x 4 1/21x 3 1/2Écoles et garderies à proximité:-2 écoles primaires dans un périmètre de 3 km-5 garderies à moins de 3 km-1 école secondaire à moins de 5 km-CEGEP Marie-VictorinServices et commerces à proximité:-CLSC Rivière-Des- Prairies-6 parcs axés sur les loisirs et la famille-Centre de gym Econo-Fitness-Complexe de sports Marie-Victorin-SAQ-Supermarchés (Maxi, Costco), Canadian Tire, Tim Hortons et banques (BMO +Desjardins)-Autoroutes 40/440 / A25-Transport en commun (Autobus qui mènent directement aux stations de métro)-Pharmacies et dépanneurs-Station de train (AMT)-Restaurants (Shekz, Danesi, Sizzles)Emplacement, revenus et une unité principale de grande taille! Que pouvez-vous demander de plus ?",9.0,3.0,1+2
865,866,820 000 $,3,49 200 $,Triplex dans le quartier Rivière-des-Prairies construit en 1981,Jumelé,"32 X 45 p / 9,75 X 13,72 m",280 100 $,"2 880,42 pc /    267,6 mc",506 000 $,"43,9 X 153,2 p / 13,34 X 46,68 m",Oui (2018),"6 700,53 pc /    622,5 mc",,,"Allée (1), Garage (1)","Plinthes à convection, Plinthes électriques",,Foyer au bois,"Détecteur d'incendie (non relié), Interphone, Thermopompe murale",,"Fixtures, luminaires, thermopompe murale et sa télécommande, lave-vaisselle, couvre-fenêtres, pergola, tempo et cabanon + Tous les meubles ou électroménagers inclus dans les baux.","Rideaux, stores, pôles du 8462 + Tous les meubles, effets personnels et outils appartenant au propriétaire et aux locataires.","Excellente opportunité pour futur propriétaire occupant ou investisseur. Grand potentiel d'optimisation et d'augmentation des loyers. Ce magnifique Triplex 32 X 45 est situé dans un secteur familial, tranquille et très recherché de RDP. Immeuble très bien entretenue au fil des ans par son propriétaire original. Construction 1981 en brique et pierre avec garage. Terrain de 6700pc avec grande cour aménagée et belle terrasse. L'immeuble contient un 7 ½ avec sous-sol et bachelor + grand 5 ½ + 2 ½. Près de tous les services et facile d'accès au transport. Revenu potentiel brut de 49 500$ et plus. Possibilité d'acheter avec 10% mise de fond.","- Triplex 32 X 45- Construction 1981 -- Propriétaire original- Revêtement de brique et pierre- Thermopompe murale 2015- Garage et allée à usage exclusif de l'unité principale- Terrain de 6700pc avec grande cour aménagée et belle terrasse- Revenu effectif brut de 19 200$/an (19 500$/an à partir du 1er Juillet 2023)- Revenu potentiel brut de 49 500$ et plus- Possibilité d'acheter avec 10% mise de fond.***Unité 8462***Immense 7 ½3x Chambres à coucher + 2x Salles de bains et 1x Salle d'eau attenante à la chambre principale+ Sous-Sol avec bachelor qui vous permet plusieurs possibilités d'aménagementPlanchers en bois et céramiqueThermopompe murale 2015Garage et allée***Unité 8464***Grand 5 ½3x Chambres à coucher + 1x Salle de bains Planchers en bois et céramiqueLoué à 950$/mois (975$/mois au 1er Juillet 2023)***Unité 8460***2 ½1x Chambre à coucher + 1x Salle de bains Planchers en bois et céramiqueLoué à 650$/moisPrès de tous les services et facile d'accès au transport en communÀ Proximité des Autoroutes 25, 40 et 440, de Laval et du Tunnel Louis-Hippolyte-La Fontaine",15.0,3.0,2+1
866,867,949 000 $,2,40 440 $,Duplex dans le quartier Pointe-aux-Trembles construit en 2009,Isolé (détaché),"37,6 X 39,2 p irr / 11,44 X 11,94 m irr",174 700 $,,541 900 $,"50,2 X 292,3 p irr / 15,28 X 89,08 m irr",Oui (2021),"14 545,27 pc /   1 351,3 mc",,Creusée,"Allée (5), Garage (2)",Air soufflé (pulsé),,Foyer au gaz,Thermopompe centrale,,a déterminer avec le vendeur,,"Duplex construit en 2009, idéal pour propriétaire occupant avec possibilité de faire un intergénération. Immense terrain de 14545 pc, aménagé d'une piscine creusé ainsi qu'un garage double indépendant qui est chauffé et équipé d'une une salle d'eau. Stationnement pour 5 voiture. Situé près du fleuve et à pied d'une école primaire.",,9.0,4.0,1+1
867,868,980 000 $,3,48 588 $,Triplex dans le quartier Pointe-aux-Trembles construit en 2017,Isolé (détaché),"36,10 X 35,2 p irr / 11,22 X 10,73 m irr",100 700 $,,515 700 $,,Oui (2017),"4 246,36 pc /    394,5 mc",,,Allée (2),Plinthes électriques,,,"Climatiseur mural, Échangeur d'air",,"3 air conditionné mural, 3 échangeurs d'air, 1 remis 3 portes.",Les biens et meuble des locataires.,"Triplex Secteur recherché, facile a louer. 3 chambres a couché par unité. Unité de + de 1200pc. Comptoir en Quartz. **Possibilité de vendre les 2 triplex un a coté de l'autre (Financement commercial possible)**",,5.0,3.0,1+0
868,869,764 500 $,3,42 480 $,Triplex dans le quartier Pointe-aux-Trembles construit en 1957,Jumelé,"30 X 34 p / 9,14 X 10,37 m",166 300 $,,416 200 $,"51,3 X 92 p / 15,61 X 28,04 m",Oui (2023),"4 710,29 pc /    437,6 mc",,,Allée (3),Plinthes électriques,,,Thermopompe murale,,"11930: Luminaires, hotte, stores, tablettes décoratives. 11928: Luminaires, hotte 11926: Luminaires, hotte","11930: Lave-vaisselle 11928: Thermopompe murale, lave-vaisselle, biens personnels des locataires 11926: Biens personnels du locataire","RARETÉ/ACCESSIBILITÉ/QUALITÉ Avec occupation double, soyez l'heureux propriétaire occupant de ce MAJESTUEUX immeuble 3 plex, bien situé au coeur de votre quartier favori de PAT! Deux logements 5 1/2 (logement du haut/propriétaire occupant libre 30 jours) et un logement 3 1/2 au sous-sol (sera libre juin 2023). Profitez de beaucoup d'espace arrière cour et 2 ALLÉES de stationnement... pour vous les proprios! Offrant un revenu annuel des plus intéressant et défiant toute compétition!","STOP... votre coup de coeur se poursuit!Vous êtes passionné par les immeubles bien entretenue, ce plex est pour vous!NOTRE DESCRIPTIF:11930: 5 1/2 (Étage)*Propriétaire occupant, libre à l'acheteur*1,800$ /mois, Valeur locative.2 stationnements attitrésLogement RÉNOVÉE en 2021, spectaculaire!Cuisine moderne, dosseret décoratif design, évier en inox, pompe à savon intégré, robinetterie haut de gamme.Coin bar/café intégré au concept moderne de la cuisine pour vos meilleurs moments entre amis.Salle de bain rénovée avec plancher chauffant, robinetterie haut de gamme et pommeau de douche pluie et douchette.Chambre principale spacieuse.2 autres chambre secondaire dont une faisant office de bureau.Laveuse/sécheuse dissimulées. Concept à aires ouvertes avec luminaires modernes.Poutre de soutien et décorative.Beau revêtement des planchers harmonisant le tout.Thermopompe mural pour plus de confort.11928: 5 1/2 (Rez-de-chaussée)Bail renouvelé: 1060$ /mois1 stationnement attitré.Grande cuisine et salon communiquant.3 chambres de bonnes dimensions. Salle de bain avec baignoire/douche et meuble/lavabo.11926 3 1/2 (sous-sol)Ajout de ce logement en 2012Sera libre à l'acheteur au 01er Juillet 2023.Bien entretenue et lumineux.NOS PLUS ET NOS ATOUTS pour chacun des logements:Coin laveuse/sécheuse intégré au logement.1 espace de rangement intérieur.1 espace de rangement extérieur.NOTRE ENVIRONNEMENT :LOCALISATION!Vous ferez des jaloux, vous ne pouvez espérer mieux.Transports en commun, commodités, parc, écoles, restaurants, activités sportives...** Les photos sont celles du 5 1/2 à l'étage et du 3 1/2 du sous-sol.",5.0,3.0,1+0
869,870,730 000 $,3,31 620 $,Triplex dans le quartier Rivière-des-Prairies construit en 1984,Jumelé,"32,1 X 42,2 p irr / 9,79 X 12,85 m irr",264 500 $,"2 687,75 pc /    249,7 mc",530 000 $,,Oui (2023),"5 694,11 pc /    529 mc",,,"Allée (2), Garage (1)",Plinthes électriques,,,,,Poêle et frigidaire de l'appartement du sous-sol.,La piscine dans la cours arrière (appartient au locataire du RDC),"Découvrez ce grand triplex situé dans le meilleur secteur de RDP! Le logement du rez-de-chaussée bénéficie d'un accès à la cour, le garage ainsi que l'allée de stationnement. Les deux logements (à l'étage et au sous-sol) ont été bien entretenus et sont occupés par des locataires respectueux et tranquilles. Le stationnement dans la rue est facile. Profitez de la cour arrière généreuse et de son charmant espace extérieur. Situé dans un secteur très familial, cet emplacement exceptionnel vous offre un accès facile à toutes les commodités. Cet immeuble est la propriété de la même famille depuis plus de 17 ans. Ne manquez pas cette occasion rare !",,6.0,3.0,1+0
870,871,973 000 $,3,41 640 $,Triplex dans le quartier Rivière-des-Prairies construit en 2004,Jumelé,"35 X 40 p / 10,67 X 12,19 m",110 100 $,,527 500 $,"42 X 95 p / 12,80 X 28,96 m",Oui (2007),"3 954 pc /    367,34 mc",,,"Allée (2), Garage (1)",Air soufflé (pulsé),,Foyer au gaz,"Climatiseur central, Climatiseur mural",,"fixtures, lave-vaisselle, thermopompe centrale, stores, échangeur d'air,gazebo, système d'alarme, hotte de cuisine, abri tempo, chauffe-eau du 10248","2 chauffe-eau en location, au 10250 et 10250A","Beau triplex avec garage intégré, construction 2004 Le logement du rez-de-chaussée comprend 3 chambres ,il  possède également l'usage d'une partie du sous-sol ou l'on retrouve une salle familiale,  une salle de toilette et un garage avec sortie extérieure.Accès facile aux transports en commun. Idéal pour investisseur ou propriétaire occupant, ne manquez pas votre chance. Absolument à voir !!!","Chambre froide, 11'4 x 10'4Garage, 19 x 12'3 irr.à proximité des écoles primaires, des transports en commun, parcs, autoroute",8.0,3.0,2+1
871,872,870 000 $,3,39 420 $,Triplex dans le quartier Rivière-des-Prairies construit en 1980,Jumelé,"34 X 45 p / 10,36 X 13,72 m",237 800 $,,644 600 $,"38 X 117 p irr / 11,58 X 35,66 m irr",Oui (1979),"6 921 pc /    642,98 mc",,,"Allée (2), Garage (1)",Plinthes électriques,,,,,"Store, Fixtures électriques, AC/ encastrée ( pas sûre si functionel), Cabanon, Filage électrique pour charge voiture électrique.",Borne pour charge voiture électrique,"** Emplacement ! Emplacement ! Emplacement **  Grand Triplex (34x45) sur un terrain de 6920 pc. Secteur idéal. Proche de tout services ** Aut 25, train de banlieue, centre d'achat, banques, plusieurs écoles et plus. Propriété impeccable avec plusieurs rénovations: Toiture 2019, Fenestrations, escalier avant avec rampes, pavé unis. Très grandes pièces au RDC, éclairé par beaucoup de lumière naturele. Sous-sol fini avec grande salle de jeux, porte patio et une 2ième cuisine et une autre SDB. Chambre froide. Disponible pour Occupation  immédiate.",,9.0,3.0,2+1
872,873,702 500 $,4,26 100 $,Quadruplex dans le quartier Vieux-Rosemont construit en 1924,En rangée,"25 X 38 p / 7,62 X 11,58 m",181 200 $,,270 000 $,"25 X 78 p / 7,62 X 23,77 m",Oui (1993),"1 950 pc /    181,16 mc",,,,Plinthes électriques,,,,,Réservoir eau chaude X 4,,"Magnifique Quadruplex à quelques portes de la Promenade Masson. Potentiel d'optimisation des revenus. Immeuble en très bon état, localisation exceptionnel. Bloc de visite le 9 janvier 2021 de 13-15h.","Magnifique Quadruplex à quelques portes de la Promenade Masson.4 Unités de 3 1/2 très bien entretenuesLes revenus sont 26100$ par an (revenus non optimisés)Sous-sol non aménagé entre 4 et 6 pieds de hauteur.Localisation +++ LE QUARTIER : La Promenade Masson est une artère commerciale majeure et authentique de la Ville de Montréal. Située au coeur du quartier Rosemont-Petite-Patrie, elle regroupe plus de 150 commerces et de services variés.Découvrez le Jardin Botanique, le Biodôme, le Planetarium, le Stade Olympique, l'insectarium.Allez vibrer au stade Saputo en supportant le CF Montréal et vivre l'ambiance des matchs.Profitez du superbe Parc Maisonneuve et de ses sentiers, un véritable poumon de verdure en ville.À PROXIMITÉ : - Écoles primaires : École Saint-Albert-le-Grand, École Saint-Jean-de-la-Lande- Parcs : Parc Lafond, Parc du Pélican- Épicerie : Métro Plus St-Joseph, Alimentation poivre & sel, ...- Garderies : Petits Champions, Garderie Educative Mila, ...Transport en commun :- Bus ligne 47 Masson, ligne 67 et 467 Saint-Michel, ligne 27 et 427 Saint-Joseph- Station Bixi au coin de la rue- Communauto : 3 stations à moins de 5min de marche.Walk Score : 86Bike Score : 86",3.0,1.0,1+0
873,874,875 000 $,5,51 360 $,Quintuplex dans le quartier Vieux-Rosemont construit en 1924,En rangée,"25 X 47 p / 7,62 X 14,33 m",271 800 $,,655 800 $,,Oui (2021),"1 950 pc /    181,16 mc",,,,,,,,,,,"Parfaitement situé près de la promenade Masson. En excellent état, toiture refaite 2022.  Avec de bons locataires. Visite possible du RDC.",,6.0,3.0,1+0
874,875,881 000 $,2,41 400 $,Duplex dans le quartier Vieux-Rosemont construit en 1952,En rangée,"18 X 42 p irr / 5,49 X 12,80 m irr",132 200 $,,424 900 $,"18 X 78 p / 5,49 X 23,77 m",Oui (2017),"1 408 pc /    130,81 mc",,,,Plinthes électriques,,,Thermopompe murale,,"Les stores sur mesure porte patio et chambres au sous-sol, Fixtures, Lave-vaisselle, bac de jardinage, et tapis sur les marches des escalier, les électroménagers du 5828 (poêle, réfrigérateur, laveuse, sécheuse)",,"IMPECCABLE IMMEUBLE! 2 unités en excellentes conditions. Appartement du RDC rénové à neuf! Superbe cuisine avec îlot ouvert sur la salle à manger et le salon. La salle de bain est magnifique. Beaucoup d'ajouts de rangement ont été faits dans les rénovations. Au sous-sol vous trouverez 3 chambres de belles dimensions avec une 2e salle de bain complète. L'immeuble est super lumineux, tant au RDC, sous-sol qu'à l'appartement du haut. La cour arrière a été aménagée avec goût et avec le plus d'intimité possible. Vous serez ravie de profiter de cet environnement. Toiture 2016, chauffe-eau 2017, Thermopompe 2020. Secteur très calme et près de tout","Beaucoup de rénovations apportés : 2022 : Cuisine du 2e étage 2021 : Paysagement complet de l'avant de l'arrière du bâtiment : La cour arrière a été excavée de 6pouce, ils y ont ajouté de la petite roche afin d'aider au drainage du gazon synthétique, celui-ci a été installé ensuite.La clôture arrière à été refaite en composite, 7pieds de haut. Plus une clôture frost sur le côté de 6pieds de hauteur. Ils ont ajouté du pavé uni pour la terrasse2021 : Le plafond entre les deux unités a été soufflé à la cellulose pour l'insonorisation2021-2022 : L'Unité du rez-de-chausée a été repeint entièrement Garde robe du hall d'entrée a été agrandit2020-2021 : les 2 portes patios ont été changées2017 : La cuisine, la salle de bain et les planchers du rez-de-chaussé ont été refaits. La salle de bain et le plancher du sous-sol ont été refaits également.____________________________Locataire de qualité au logement du haut. ____________________________Quartier: Un quartier où il fait bon grandir et élever une famille, avec toutes ses ruelles vertes, ses parcs, ses nombreuses écoles. Rosemont connaît d'ailleurs un baby boom depuis quelques années. Ce qui n'empêche pourtant pas, ironiquement, la moitié de ses habitants d'être célibataire.1) Point de départTon aventure montréalaise débute aujourd'hui au coin du boulevard St-Michel et de la rue Masson. Tu peux te rendre au point de départ grâce au bus 67 St-Michel, qui passe aux stations de métro St-Michel (ligne bleue) et Joliette (ligne verte). Sinon, le bus 47 Masson s'y rend aussi, en partant de la station de métro Laurier (ligne orange). Dans tous les cas, 10 à 15 minutes de bus te suffisent, à partir du métro! 2) À 5 min à pied de la rue Masson :C'est ici que la Promenade Masson bat son plein. Entre St-Michel et la 2ième avenue, les terrasses se multiplient à la vitesse grand-V depuis quelques années. -Source Gilles Beaudry (Mes quartiers, c'est toi ma ville)Un secteur de choix pour tous les goûts!",6.0,3.0,2+0
